distance,purse,track,age,odds,pp_start,j_starts,j_first,j_second,j_third,j_total_win_amt,j_win_perc,j_top_3,j_top_3_perc,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3,winloss
800.0,62000.0,1,5,7.2,5,9,0,1,1,22430,0.0,2,0.22,44,13,5,2,616845,0.3,0.45,1
800.0,62000.0,1,4,3.9,7,20,3,1,2,83170,0.15,6,0.3,42,6,5,5,524088,0.14,0.38,0
800.0,62000.0,1,4,12.7,6,51,4,7,7,312568,0.08,18,0.35,51,9,9,5,435875,0.18,0.45,0
800.0,62000.0,1,5,11.2,8,52,13,8,4,816020,0.25,25,0.48,6,1,0,0,38925,0.17,0.17,0
800.0,62000.0,1,5,7.3,2,59,7,8,8,562909,0.12,23,0.39,14,1,2,3,85955,0.07,0.43,1
800.0,62000.0,1,4,7.4,4,32,0,4,3,69250,0.0,7,0.22,15,3,3,3,223670,0.2,0.6,0
500.0,60000.0,1,2,33.3,6,15,0,1,3,27995,0.0,4,0.27,51,9,9,5,435875,0.18,0.45,0
500.0,60000.0,1,2,5.9,2,52,13,8,4,816020,0.25,25,0.48,11,2,2,1,111165,0.18,0.45,1
500.0,60000.0,1,2,26.2,7,15,1,1,3,79825,0.07,5,0.33,42,6,5,5,524088,0.14,0.38,0
500.0,60000.0,1,2,10.6,3,22,4,1,2,123470,0.18,7,0.32,6,1,0,1,42540,0.17,0.33,0
500.0,60000.0,1,2,41.1,8,39,2,7,2,134480,0.05,11,0.28,10,0,1,0,15360,0.0,0.1,0
500.0,60000.0,1,2,12.3,9,37,6,4,2,150700,0.16,12,0.32,44,13,5,2,616845,0.3,0.45,0
500.0,60000.0,1,2,0.7,4,42,10,3,5,683730,0.24,18,0.43,39,10,8,1,555914,0.26,0.49,1
500.0,60000.0,1,2,48.3,1,4,0,0,0,4635,0.0,0,0.0,10,0,0,0,9682,0.0,0.0,0
500.0,60000.0,1,2,5.8,10,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45,0
500.0,60000.0,1,2,27.4,5,19,1,4,4,168321,0.05,9,0.47,39,5,5,5,286355,0.13,0.38,1
800.0,100000.0,0,3,7.5,4,31,2,5,5,270490,0.06,12,0.39,51,9,9,5,435875,0.18,0.45,0
800.0,100000.0,0,3,2.7,6,52,13,8,4,816020,0.25,25,0.48,44,13,5,2,616845,0.3,0.45,0
800.0,100000.0,0,3,36.8,8,28,3,1,1,66200,0.11,5,0.18,8,1,0,1,25320,0.13,0.25,0
